Type,Sentiment,Score,Content ID,Datetime,Category
heart,positive,60.0,,,
want,positive,70.0,,,
disgust,negative,0.0,,,
hate,negative,5.0,,,
interested,positive,30.0,,,
indifferent,neutral,20.0,,,
love,positive,65.0,,,
super love,positive,75.0,,,
cherish,positive,70.0,,,
adore,positive,72.0,,,
like,positive,50.0,,,
dislike,negative,10.0,,,
intrigued,positive,45.0,,,
peeking,neutral,35.0,,,
scared,negative,15.0,,,
worried,negative,12.0,,,
disgust,,,97522e57-d9ab-4bd6-97bf-c24d952602d2,2020-11-07 09:43:50,
dislike,,,97522e57-d9ab-4bd6-97bf-c24d952602d2,2021-06-17 12:22:51,
scared,,,97522e57-d9ab-4bd6-97bf-c24d952602d2,2021-04-18 05:13:58,
disgust,,,97522e57-d9ab-4bd6-97bf-c24d952602d2,2021-01-06 19:13:01,
interested,,,97522e57-d9ab-4bd6-97bf-c24d952602d2,2020-08-23 12:25:58,
peeking,,,97522e57-d9ab-4bd6-97bf-c24d952602d2,2020-12-07 06:27:54,
cherish,,,97522e57-d9ab-4bd6-97bf-c24d952602d2,2021-04-11 17:35:49,
hate,,,97522e57-d9ab-4bd6-97bf-c24d952602d2,2021-01-27 08:32:09,
peeking,,,97522e57-d9ab-4bd6-97bf-c24d952602d2,2021-04-01 22:54:23,
indifferent,,,97522e57-d9ab-4bd6-97bf-c24d952602d2,2020-11-07 08:36:27,
scared,,,97522e57-d9ab-4bd6-97bf-c24d952602d2,2020-11-02 06:28:53,
interested,,,97522e57-d9ab-4bd6-97bf-c24d952602d2,2020-11-01 01:16:21,
hate,,,97522e57-d9ab-4bd6-97bf-c24d952602d2,2020-10-07 18:39:08,
scared,,,97522e57-d9ab-4bd6-97bf-c24d952602d2,2020-09-03 18:51:38,
super love,,,97522e57-d9ab-4bd6-97bf-c24d952602d2,2021-02-24 05:09:23,
peeking,,,97522e57-d9ab-4bd6-97bf-c24d952602d2,2020-09-23 06:24:11,
indifferent,,,97522e57-d9ab-4bd6-97bf-c24d952602d2,2021-02-24 11:37:57,
interested,,,97522e57-d9ab-4bd6-97bf-c24d952602d2,2021-05-22 19:44:23,
peeking,,,97522e57-d9ab-4bd6-97bf-c24d952602d2,2020-11-20 17:26:23,
worried,,,97522e57-d9ab-4bd6-97bf-c24d952602d2,2021-04-11 20:47:13,
like,,,97522e57-d9ab-4bd6-97bf-c24d952602d2,2021-06-13 16:46:06,
heart,,,97522e57-d9ab-4bd6-97bf-c24d952602d2,2021-04-11 14:29:59,
worried,,,97522e57-d9ab-4bd6-97bf-c24d952602d2,2021-03-02 19:21:19,
hate,,,97522e57-d9ab-4bd6-97bf-c24d952602d2,2020-06-27 18:44:39,
hate,,,97522e57-d9ab-4bd6-97bf-c24d952602d2,2021-05-09 21:05:17,
cherish,,,97522e57-d9ab-4bd6-97bf-c24d952602d2,2020-08-04 23:58:42,
super love,,,97522e57-d9ab-4bd6-97bf-c24d952602d2,2020-08-28 03:57:20,
scared,,,97522e57-d9ab-4bd6-97bf-c24d952602d2,2021-04-20 23:48:12,
interested,,,97522e57-d9ab-4bd6-97bf-c24d952602d2,2021-03-07 12:40:11,
indifferent,,,97522e57-d9ab-4bd6-97bf-c24d952602d2,2021-05-24 03:21:13,
super love,,,97522e57-d9ab-4bd6-97bf-c24d952602d2,2021-01-24 11:03:43,
disgust,,,97522e57-d9ab-4bd6-97bf-c24d952602d2,2021-04-09 02:46:20,
super love,,,97522e57-d9ab-4bd6-97bf-c24d952602d2,2021-02-02 03:43:43,
interested,,,97522e57-d9ab-4bd6-97bf-c24d952602d2,2021-02-04 03:06:12,
dislike,,,97522e57-d9ab-4bd6-97bf-c24d952602d2,2020-11-09 02:49:59,
scared,,,97522e57-d9ab-4bd6-97bf-c24d952602d2,2020-09-29 16:00:27,
want,,,97522e57-d9ab-4bd6-97bf-c24d952602d2,2021-02-13 07:54:01,
interested,,,97522e57-d9ab-4bd6-97bf-c24d952602d2,2020-07-14 05:28:44,
indifferent,,,97522e57-d9ab-4bd6-97bf-c24d952602d2,2020-08-23 10:30:37,
worried,,,97522e57-d9ab-4bd6-97bf-c24d952602d2,2021-05-10 09:27:42,
hate,,,97522e57-d9ab-4bd6-97bf-c24d952602d2,2021-03-15 03:59:11,
dislike,,,9f737e0a-3cdd-4d29-9d24-753f4e3be810,2020-06-25 17:01:58,
intrigued,,,9f737e0a-3cdd-4d29-9d24-753f4e3be810,2020-09-13 00:11:50,
peeking,,,9f737e0a-3cdd-4d29-9d24-753f4e3be810,2020-08-20 18:17:06,
scared,,,9f737e0a-3cdd-4d29-9d24-753f4e3be810,2021-02-11 04:53:56,
hate,,,9f737e0a-3cdd-4d29-9d24-753f4e3be810,2021-03-08 10:40:53,
disgust,,,9f737e0a-3cdd-4d29-9d24-753f4e3be810,2021-03-28 21:15:26,
hate,,,9f737e0a-3cdd-4d29-9d24-753f4e3be810,2021-05-25 01:00:28,
like,,,9f737e0a-3cdd-4d29-9d24-753f4e3be810,2021-03-15 12:17:43,
love,,,9f737e0a-3cdd-4d29-9d24-753f4e3be810,2021-05-05 16:26:43,
heart,,,9f737e0a-3cdd-4d29-9d24-753f4e3be810,2021-06-16 03:02:28,
indifferent,,,9f737e0a-3cdd-4d29-9d24-753f4e3be810,2020-07-07 10:52:30,
peeking,,,9f737e0a-3cdd-4d29-9d24-753f4e3be810,2020-08-20 07:59:11,
love,,,9f737e0a-3cdd-4d29-9d24-753f4e3be810,2020-09-23 11:15:19,
like,,,9f737e0a-3cdd-4d29-9d24-753f4e3be810,2021-03-24 05:56:19,
hate,,,230c4e4d-70c3-461d-b42c-ec09396efb3f,2020-12-07 19:13:23,
super love,,,230c4e4d-70c3-461d-b42c-ec09396efb3f,2020-08-03 16:41:04,
adore,,,230c4e4d-70c3-461d-b42c-ec09396efb3f,2021-01-10 15:36:01,
scared,,,230c4e4d-70c3-461d-b42c-ec09396efb3f,2020-09-20 08:48:13,
cherish,,,230c4e4d-70c3-461d-b42c-ec09396efb3f,2020-07-20 14:06:31,
adore,,,230c4e4d-70c3-461d-b42c-ec09396efb3f,2020-10-24 12:15:34,
interested,,,230c4e4d-70c3-461d-b42c-ec09396efb3f,2021-06-06 01:27:19,
heart,,,230c4e4d-70c3-461d-b42c-ec09396efb3f,2020-12-25 00:09:41,
like,,,230c4e4d-70c3-461d-b42c-ec09396efb3f,2021-06-14 07:56:56,
hate,,,230c4e4d-70c3-461d-b42c-ec09396efb3f,2020-11-18 23:37:37,
interested,,,230c4e4d-70c3-461d-b42c-ec09396efb3f,2021-05-09 02:42:43,
dislike,,,230c4e4d-70c3-461d-b42c-ec09396efb3f,2021-05-11 08:38:47,
peeking,,,230c4e4d-70c3-461d-b42c-ec09396efb3f,2020-11-12 08:00:05,
heart,,,230c4e4d-70c3-461d-b42c-ec09396efb3f,2020-06-21 16:57:09,
super love,,,230c4e4d-70c3-461d-b42c-ec09396efb3f,2021-03-04 23:58:54,
want,,,230c4e4d-70c3-461d-b42c-ec09396efb3f,2020-07-09 16:47:07,
hate,,,230c4e4d-70c3-461d-b42c-ec09396efb3f,2020-08-01 19:16:01,
dislike,,,230c4e4d-70c3-461d-b42c-ec09396efb3f,2020-11-23 22:46:17,
dislike,,,230c4e4d-70c3-461d-b42c-ec09396efb3f,2021-04-23 23:41:18,
want,,,230c4e4d-70c3-461d-b42c-ec09396efb3f,2020-11-13 00:33:42,
interested,,,230c4e4d-70c3-461d-b42c-ec09396efb3f,2021-06-09 10:13:56,
love,,,230c4e4d-70c3-461d-b42c-ec09396efb3f,2020-10-29 19:41:49,
heart,,,230c4e4d-70c3-461d-b42c-ec09396efb3f,2021-05-14 12:47:27,
disgust,,,230c4e4d-70c3-461d-b42c-ec09396efb3f,2020-08-04 05:40:33,
adore,,,230c4e4d-70c3-461d-b42c-ec09396efb3f,2020-08-07 04:09:29,
adore,,,230c4e4d-70c3-461d-b42c-ec09396efb3f,2020-10-23 21:19:27,
adore,,,230c4e4d-70c3-461d-b42c-ec09396efb3f,2020-11-14 23:53:51,
interested,,,230c4e4d-70c3-461d-b42c-ec09396efb3f,2020-11-12 04:54:46,
worried,,,356fff80-da4d-4785-9f43-bc1261031dc6,2021-04-03 12:17:12,
want,,,356fff80-da4d-4785-9f43-bc1261031dc6,2020-09-27 22:15:54,
heart,,,356fff80-da4d-4785-9f43-bc1261031dc6,2020-10-27 05:45:15,
scared,,,356fff80-da4d-4785-9f43-bc1261031dc6,2020-10-15 09:11:23,
heart,,,356fff80-da4d-4785-9f43-bc1261031dc6,2021-05-07 09:16:35,
hate,,,356fff80-da4d-4785-9f43-bc1261031dc6,2020-09-16 08:39:40,
indifferent,,,356fff80-da4d-4785-9f43-bc1261031dc6,2020-10-29 15:38:26,
scared,,,01ab84dd-6364-4236-abbb-3f237db77180,2021-05-24 18:03:26,
interested,,,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,2021-02-25 20:02:53,
hate,,,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,2021-05-02 03:45:03,
want,,,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,2021-01-28 08:49:29,
peeking,,,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,2021-02-15 13:06:04,
dislike,,,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,2020-11-04 21:25:52,
love,,,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,2020-06-23 22:12:03,
cherish,,,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,2021-02-16 04:01:15,
interested,,,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,2021-01-03 08:44:25,
adore,,,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,2020-11-25 12:45:41,
like,,,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,2021-05-22 21:03:24,
cherish,,,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,2021-01-18 13:39:54,
indifferent,,,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,2021-01-06 00:35:24,
adore,,,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,2021-05-14 14:33:17,
worried,,,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,2021-05-27 15:21:54,
peeking,,,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,2020-07-21 02:12:26,
dislike,,,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,2021-05-26 06:09:46,
dislike,,,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,2021-02-25 03:16:57,
intrigued,,,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,2020-12-07 22:50:16,
peeking,,,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,2020-09-01 21:18:45,
adore,,,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,2021-05-10 22:07:25,
cherish,,,3f8590c7-6ab2-4973-805a-90cdec355f05,2021-02-12 16:37:36,
heart,,,3f8590c7-6ab2-4973-805a-90cdec355f05,2021-04-28 15:22:49,
intrigued,,,3f8590c7-6ab2-4973-805a-90cdec355f05,2021-01-24 00:38:50,
worried,,,3f8590c7-6ab2-4973-805a-90cdec355f05,2021-03-18 01:53:44,
disgust,,,3f8590c7-6ab2-4973-805a-90cdec355f05,2021-01-14 07:21:32,
heart,,,3f8590c7-6ab2-4973-805a-90cdec355f05,2020-12-23 04:11:42,
hate,,,3f8590c7-6ab2-4973-805a-90cdec355f05,2021-05-21 07:23:46,
like,,,3f8590c7-6ab2-4973-805a-90cdec355f05,2021-03-28 23:25:16,
peeking,,,3f8590c7-6ab2-4973-805a-90cdec355f05,2020-09-16 07:33:24,
heart,,,3f8590c7-6ab2-4973-805a-90cdec355f05,2021-03-06 05:23:29,
disgust,,,3f8590c7-6ab2-4973-805a-90cdec355f05,2021-01-13 23:35:56,
want,,,3f8590c7-6ab2-4973-805a-90cdec355f05,2020-09-06 22:35:47,
